identifier,filename,subject_topical 1,subject_topical_authority 1,subject_topical_URI 1,subject_topical 2,subject_topical_authority 2,subject_topical_URI 2,subject_topical 3,subject_topical_authority 3,subject_topical_URI 3,subject_topical 4,subject_topical_authority 4,subject_topical_URI 4,subject_topical 5,subject_topical 6,subject_topical_URI 6,subject_topical_authority 6,subject_topical 7,subject_topical_authority 7,subject_topical_URI 7,subject_topical 8,subject_authority 8,subject_topical_URI 8,subject_local_label 1,subject_local_code 1,subject_local_label 2,subject_local_code 2,subject_local_label 3,subject_local_code 3,subject_local_label 4,subject_local_code 4,subject_local_label 5,subject_local_code 5,subject_geographic 1,subject_geographic_URI 1,subject_geographic_coordinates 1,subject_geographic 2,subject_geographic_URI 2,subject_geographic_coordinates 2,subject_geographic 3,subject_geographic_URI 3,subject_geographic_coordinates 3,subject_geographic 4,subject_geographic_URI 4,subject_geographic_coordinates 4,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_authority 2,subject_name_URI 2,subject_name 3,subject_authority 3,subject_URI 3,subject_name 4,subject_name 5,subject_temporal,subject_temporal_local,shelf_locator,classification_number,collection,collection_identifier,holdingsExternal_city,holdingsExternal_county,holdingsExternal_state,physicalLocation@type=accessionNumber,repository,repository_URI,sublocation,record_creation_date,record_source,extent,internet_media_type,name_role 1 1,name_role_URI 1 1,name_role 1 2,name_role_URI 1 2,name_corporate 1,name_corporate_authority 1,name_corporate_URI 1,name_personal 1,name_authority 1,name_personal_URI 1,name_desc 1,name_role 2,name_role_URI 2,name_corporate 2,name_corporate_authority 2,name_corporate_URI 2,name_personal 2,name_personal_authority 2,name_personal_URI 2,name_description 2,name_role 3,name_role_URI 3,name_corporate 3,name_personal 3,name_personal_authority 3,name_personal_URI 3,name_desc 3,date_single,date_text,date_range_end,date_qualifier,public_note,place_of_origin 1,place_of_origin_URI 1,place_of_origin 2,place_of_origin_URI 2,date_publication,date_publication_qualifier,publisher,relatedItem@type=host_title,relatedItem@type=host_detail@type=issue,language,title_initial_article,title_work,item_type 1,item_type 2,form 1,form_URI 1,form 2,form_URI 2,genre,genre_URI,rights,abstract,digital_origin,language_of_ cataloging,project_url,project_title
0012_000050_000200_0001,0012_000050_000200_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,Wars and Military,D.24,Science and Technology,D.19,Government and Politics,D.10,,,,,Oak Ridge (Tenn.),http://id.loc.gov/authorities/names/n79100849,"36.01028N, 84.26972W",Anderson County (Tenn.),http://id.loc.gov/authorities/names/n82030802,"36.11666N, 84.21667W",,,,,,,,,,,,,,,,,,,Era 9 - Postwar United States (1945-1970's),,,Gaseous Diffusion Plant at Oak Ridge Photograph,MS.2387,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2008-02-07,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph; 6.5 x 8 inches,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1945,approximately between 1945 and 1970,1970,approximate,,,,,,,,,,,eng,The ,Gaseous Diffusion Plant at Oak Ridge,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This photograph is titled, ""The Gaseous Diffusion Plant at Oak Ridge"". The photograph shows an aerial view of the K-25 facility in Oak Ridge, Tennessee.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000055_000200_0001,0012_000055_000200_0001.jpeg,Deaf--Education--Tennessee,lcsh,,Social problems,lcsh,http://id.loc.gov/authorities/subjects/sh85123988,,,,,,,,,,,,,,,,,New South period and the industrialization of Tennessee,B.8,Children and Childhood,D.4,Education,D.6,,,,,Knox County (Tenn.),http://id.loc.gov/authorities/names/n81102870,"36.01667N, 83.93333W",,,,,,,,,,,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,Tennessee Deaf and Dumb Asylum Photograph,MS.2749,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2006-11-29,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photgraph; 8 x 10 inches,image/jpeg,Attributed name,http://id.loc.gov/vocabulary/relators/att,,,Tennessee School for the Deaf,naf,http://id.loc.gov/authorities/names/n81082772,,,,,,,,,,,,,,,,,,,,,1870,approximately between 1870 and 1925,1925,approximate,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,,,1900,questionable,,,,eng,,Tennessee School for the Deaf,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","This photograph shows the residents of the Tennessee School for the Deaf in Knoxville, Tenn., standing on the stairs outside of their building. The photograph is signed by Negly Stewart and is undated. Inscribed in light pencil, the caption under the photo reads, ""Deaf and Dumb Asylum, Knoxville, Tenn.""",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000200_0001,0012_000056_000200_0001.jpeg,African Americans--Tennessee,lcsh,,Portrait photography--United States,,,,,,,,,,,,,,,,,,,New South period and the industrialization of Tennessee,B.8,African-Americans,D.1,Family Life and Gender Relations,D.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),"Box 1, Folder 1, Image 6",,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2006-11-29,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1900,probably between 1900 and 1920,1920,inferred,,,,,,,,,,,eng,,Family portrait,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,"Portraits, Studio",,Public domain.,"Familiy portrait of a young African-American family of five. Inscription at bottom reads: ""The Rev't...Wallace."" The portrait is part of the African-American photography collection in which most photographs are from the Knoxville area of east Tennessee.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000203_0001,0012_000056_000203_0001.jpeg,African Americans--Tennessee,lcsh,,,,,,,,,,,,Couples,http://id.worldcat.org/fast/881567,fast,,,,,,,Family Life and Gender Relations,D.7,African-Americans,D.1,"Frontier migration/experiments in representative democracy, encounters with Native Americans",B.1,,,,,Maryville (Tenn.),http://id.loc.gov/authorities/names/n79022085,"35.75639N, 83.97056W",Blount County (Tenn.),http://id.loc.gov/authorities/names/n81025935,"35.70000N, 83.95000W",,,,,,,,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),"Box 1, Folder 1, Image 7",,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2007-06-13,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph; 7.5 x 10 inches,image/jpeg,Attributed name,http://id.loc.gov/vocabulary/relators/att,,,,,,"Fagg, L. D.",,,,,,,,,,,,,,,,,,,,1890,approximately between 1890 and 1920,1920,approximate,,Maryville (Tenn.),http://id.loc.gov/authorities/names/n79022085,,,,,,,,eng,,Portrait of a Couple,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"Portrait of a couple labeled ""Charles and Mary - Maryville, Tenn."" Photo signed by ""L.D. Fagg.""",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000204_0001,0012_000056_000204_0001.jpeg,African American women--Tennessee,lcsh,,,,,,,,,,,,,,,,,,,,,African-Americans,D.1,Women,D.25,,,,,,,Vonore (Tenn.),http://id.loc.gov/authorities/names/n92003595,"35.59000N, 84.24194W",Monroe County (Tenn.),http://id.loc.gov/authorities/names/n80037799,"35.45000N, 84.23333W",,,,,,,"Green, Anna",,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),"Box 1, Folder 4, Image 7",,African-American Photography Collection,MS.2129,Knoxvlle,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2006-11-29,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1900,probably between 1900 and 1920,1920,inferred,,Vonore (Tenn.),http://id.loc.gov/authorities/names/n92003595,,,,,,,,eng,,Portrait of an African-American woman,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,"Portraits, Studio",,Public domain.,"Has the confusing inscription ""To E. Anna Green. of Vonore. Tenn. Lived with-out-In.Sam-McGee's.Home.Broth.""",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000205_0001,0012_000056_000205_0001.jpeg,African American women--Tennessee,lcsh,,,,,,,,,,,,,,,,,,,,,African-Americans,D.1,Women,D.25,"Frontier migration/experiments in representative democracy, encounters with Native Americans",B.1,"Tennessee Valley Authority and ""grass roots democracy""",B.12,,,,,,,,,,,,,,,,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),"Box 1, Folder 4, Image 5",,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2007-06-13,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1900,probably between 1900 and 1930,1930,inferred,,,,,,,,,,,eng,,Portrait of Pauline Fagg Eden,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,"Portraits, Studio",,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","Portrait of Pauline Fagg Eden. Photograph is signed with the name, ""Fagg"".",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000207_0001,0012_000056_000207_0001.jpeg,High school students,lcsh,http://id.loc.gov/authorities/subjects/sh85060709,,,,,,,,,,,Students,http://id.worldcat.org/fast/1136041,fast,School children,fast,http://id.worldcat.org/fast/1107147,,,,African-Americans,D.1,Education,D.6,Women,D.25,"Frontier migration/experiments in representative democracy, encounters with Native Americans",B.1,Jacksonian democracy and Tennessee's leadership role in the Early Republic,B.2,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96056N, 83.92083W",Knox County (Tenn.),http://id.loc.gov/authorities/names/n81102870,"36.01667N, 83.93333W",,,,,,,Austin High School,,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2007-07-08,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1912,between 1912 and 1913,1913,,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,,,,,,,,eng,,Austin High School,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This is a photograph of the Austin High School, Class of 1913, 8th Grade.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000208_0001,0012_000056_000208_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,African-Americans,D.1,"Frontier migration/experiments in representative democracy, encounters with Native Americans",B.1,,,,,,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96056N, 83.92083W",,,,,,,,,,"Boyd, C.S.",,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),"Box 1, Folder 5",,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2007-04-04,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Associated name,http://id.loc.gov/vocabulary/relators/asn,,,,,,"Boyd, C. S.",,,"Dentist In Knoxville, Tennessee",,,,,,,,,,,,,,,,,1900,approximately between 1900 and 1930,1930,approximate,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,,,,,,,,eng,,Dr. C.S. Boyd,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","Photograph of Dr. C.S. Boyd, a dentist with a practice on Vine Street in Knoxville, Tennessee.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000210_0001,0012_000056_000210_0001.jpeg,,,,,,,,,,,,,,,,,,,,,,,African-Americans,D.1,Women,D.25,"Frontier migration/experiments in representative democracy, encounters with Native Americans",B.1,"Debate over slavery, the Secession Crisis, and the Civil War: Tennessee as a uniquely divided border state",B.4,"Tennessee Valley Authority and ""grass roots democracy""",B.12,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96056N, 83.92083W",Knox County (Tenn.),http://id.loc.gov/authorities/names/n81102870,"36.01667N, 83.93333W",,,,,,,"Boyd, C. S., Dr.",,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2007-07-08,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1900,approximately between 1900 and 1910,1910,approximate,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,,,,,,,,eng,,Group Portrait,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,"This posed group mounted photograph comes from a collection of 66 photographs that shows educated and successful African-Americans living in Knoxville between the approximate dates of 1900-1910. As indicated on the photograph in the first row, 5th from the left, is Dr. C. S. Boyd, a dentist who maintained a successful office in Knoxville at this time.",reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
0012_000056_000212_0001,0012_000056_000212_0001.jpeg,,,,,,,,,,,,,,Dental offices,http://id.worldcat.org/fast/890526,fast,Dentistry,fast,http://id.worldcat.org/fast/890633,,,,African-Americans,D.1,Health and Medicine,D.11,"Frontier migration/experiments in representative democracy, encounters with Native Americans",B.1,"Debate over slavery, the Secession Crisis, and the Civil War: Tennessee as a uniquely divided border state",B.4,,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96056N, 83.92083W",Knox County (Tenn.),http://id.loc.gov/authorities/names/n81102870,"36.01667N, 83.93333W",,,,,,,"Boyd, C. S., Dr.",,,,,,,,,,,,Era 7 - The Emergence of Modern America (1890-1930),,,African-American Photography Collection,MS.2129,Knoxville,Knox County,Tennessee,,"University of Tennessee, Knoxville. Special Collections",http://id.loc.gov/authorities/names/no2014027633,,2007-07-08,"University of Tennessee, Knoxville. Special Collections",1 digital image; 1 photograph,image/jpeg,Photographer,http://id.loc.gov/vocabulary/relators/pht,,,unknown,,,,,,,,,,,,,,,,,,,,,,,1900,approximately between 1900 and 1910,1910,approximate,,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,,,,,,,,eng,,Dr. C.S. Boyd in his dentist's office,still image,,photographs,http://vocab.getty.edu/aat/300046300,,,,,Public domain.,Dr. C. S. Boyd in his dentist's office.,reformatted digital,eng,http://diglib.lib.utk.edu/cgi/b/bib/bib-idx?c=vvs-bib&cc=vvs-bib,Volunteer Voices
